"\","watt-median","L1-dcache-loads:u","L1-dcache-stores:u","L1-icache-load-misses:u","LLC-loads:u","LLC-load-misses:u","LLC-stores:u","LLC-store-misses:u","dTLB-loads:u","dTLB-load-misses:u","dTLB-stores:u","dTLB-store-misses:u","iTLB-load-misses:u","branch-loads:u","branch-load-misses:u","L1-dcache-load-misses:u","node-loads:u","branch-instructions:u","branch-misses:u","bus-cycles:u","cache-misses:u","cache-references:u","cpu-cycles:u","instructions:u","mem-stores:u","ref-cycles:u","mem-loads-aux:u","slots:u","topdown-br-mispredict:u","topdown-fetch-lat:u"
"stress-ng --cpu 1 --cpu-method collatz --timeout 10s",9.155,13065886.7360163,7580200.84445296,25961.7929713903,190.752904615239,14.6105235098715,10.9399613857658,3.78011536660681,15734365.090794,81.2933465272256,9127636.11383656,61.9683811458634,173.208100379659,1753994411.09098,594480.948520992,4090.05786406809,0.789667137041115,2109578185.34656,637484.246477586,3469493160.14734,1027.34543922774,2493.06837174112,3466812592.68535,7720338213.73708,7562055.23874217,3461546895.19368,528.259192904802,17251548256.2057,67852739.8517069,2571045029.7672
"stress-ng --cpu 1 --cpu-method correlate --timeout 10s",9.16,1402432633.4609,3233371.31196118,28156.6857634273,153.627789143047,39.5210091407428,24.7377168607649,1.68930622612465,1697395824.31955,80.0149726195442,3901730.55354568,70.0987520151574,143.655953271524,709299328.998998,1592760.87251965,27773247.5022426,-0.701416205168133,855547326.689766,1920495.0634654,3463349802.55809,917.944387973978,2512.08910133597,2867554281.97165,7845249043.05638,3241932.66103103,3468987852.91785,489.308329394075,17223668725.7199,270355640.30669,610650.479387411
"stress-ng --cpu 1 --cpu-method crc16 --timeout 10s",8.305,90711146.7340845,586207.997537954,22905.696046699,184.4814993202,17.182749128857,9.84009341888713,1.78979621266914,90682442.4288751,104.970492946514,585983.120560116,63.6216774685369,320.224414463659,91246617.7464467,172820.082486372,5594.99804044101,3.17614704091121,90961076.6817346,171951.939932358,3469960158.5081,1158.57487354789,2457.71876777282,3398577414.46065,5963810092.86457,586224.160636671,3464408508.72375,535.963398884337,20337005344.6566,212294.148432852,533701.706116784
"stress-ng --cpu 1 --cpu-method dither --timeout 10s",10.69,1805923141.7443,1570061876.80662,25669.8480064911,445.578473719297,57.2811228307304,947.349320409326,26.3595422294006,1808591111.92843,81.7151024484327,1572381485.18482,195.420129862955,408.391823115331,1743360871.71148,389058.498757691,48197958.9788368,1.88803315334618,1734017127.17605,349186.512599354,3470688672.25306,1128.74651693609,7802.86045401471,3450096487.12464,11887861813.8536,1581023414.45764,3461397783.80106,493.470445102011,19837717010.1171,210308.512800944,522156.868126538
"stress-ng --cpu 1 --cpu-method div8 --timeout 10s",7.5,178341.150250032,112517.187214037,25641.3977797087,231.84018056788,19.5847736913933,5.07093102157985,3.58120464895774,178912.502148752,81.1164812861829,113103.063575658,63.9382258184921,240.599590476036,480775444.299208,2164268.53875032,4926.05419256456,2.88015789164317,480829122.735313,2171551.55619562,3461302707.73928,872.780462953387,2535.75194097926,2865792352.40865,3368532349.39818,112506.466539011,3465528188.94223,472.844685127042,17247230439.354,135467308.529561,203400228.500249
"stress-ng --cpu 1 --cpu-method div16 --timeout 10s",8.455,193936.896273983,123135.949846938,24680.068019527,243.31132766838,14.1067356021953,0.19577853958101,2.08855367316492,193701.100627486,80.9387258582706,122857.752124307,64.4500204359256,405.423303484681,467856390.471438,2088022.13326231,4328.86335673691,-0.201390711739406,563814102.898735,2518576.30052912,3469196052.08192,976.443706073003,2551.90803386675,3466331129.45959,3360347120.16937,112297.195276709,3468125581.75887,536.531595664803,20807150367.1251,81795261.7843174,6935597620.34377
"stress-ng --cpu 1 --cpu-method div32 --timeout 10s",7.555,178467.103198672,112667.492975608,25900.8231975223,189.239334082318,16.9686844426976,8.14446028173101,1.98772137862608,197271.863850841,84.4505544083562,125493.003802851,60.4899830528024,114.973357292016,479926386.086614,2142838.24622973,5276.05497217329,4.87260496161715,481031953.497458,2146794.12969594,3470556808.23902,993.075342785338,2631.28626029955,2952071217.8521,3368734299.67571,112511.740982463,3465835286.54476,466.316496737823,17224527280.6378,135289114.286477,68078164.0095301
"stress-ng --cpu 1 --cpu-method div64 --timeout 10s",7.44,144046.976400197,89652.0824096743,29379.0447938276,197.795857843551,13.4145326687961,3.97603726652487,2.38725144174855,154621.02980063,79.6893470752343,96784.9146769781,62.9200352645344,88.5906687842361,347638208.746725,1552139.88879438,5712.81668896247,4.47242085034569,348322891.227924,1554971.02251568,3460067389.78008,874.369320309693,2378.80108241645,3457225094.34357,2446226621.92924,97535.8256961929,3470663890.11989,516.5024343068,20788804739.0408,81723744.4292064,516534.518849281
"stress-ng --cpu 1 --cpu-method div128 --timeout 10s",9.555,1025189618.57567,328271863.518223,27411.7091794098,192.035801501555,19.3839513508451,6.96047334902112,4.07837364291443,1027815112.41864,78.3136039476881,329112977.7473,62.8317252881965,114.194150297957,1971449907.19613,20569567.4468861,4159.81085455474,3.57607385173326,1632216190.25647,16918566.95432,3469213815.77587,1084.35753720165,2540.37781200266,2872357817.3821,13356780246.0389,395375648.162032,3467680814.40318,475.79488335979,17247054080.3509,3719764335.34655,406286723.052037
"stress-ng --cpu 1 --cpu-method double --timeout 10s",9.7,2259072532.26476,730322532.412943,51181.2526633006,194.158931524509,16.5647491087719,8.14221639922802,1.98732068532198,1867579908.94735,82.3030183265489,603763533.365243,62.575157000081,1700.47417141324,883600455.016112,10688232.0768622,11198.3377605537,2.88156712614138,882175327.362021,10691691.5127945,3466076321.85635,982.937895962505,2604.44640812103,2869615189.05325,7878360413.16033,731574475.592688,3472056275.52212,476.802367505444,20791214042.9328,2446016458.62967,245094554.82757
