"\","watt-median","L1-dcache-loads:u","L1-dcache-stores:u","L1-icache-loads:u","L1-icache-load-misses:u","LLC-loads:u","LLC-load-misses:u","LLC-stores:u","dTLB-loads:u","dTLB-load-misses:u","dTLB-stores:u","dTLB-store-misses:u","iTLB-load-misses:u","branch-loads:u","branch-load-misses:u","branch-instructions:u","branch-misses:u","bus-cycles:u","cache-misses:u","cache-references:u","cpu-cycles:u","instructions:u","mem-loads:u","mem-stores:u","ref-cycles:u","topdown-bad-spec:u","topdown-be-bound:u","topdown-fe-bound:u","topdown-retiring:u"
"stress-ng --cpu 1 --cpu-method div64 --timeout 10s",6.98,172773.4047048,148917.785509516,476249327.945307,11530.876260539,115.619462572394,0,-0.215007602634699,172979.208169554,50.258245251198,149086.892642473,7.64761239907693,5935.78527501896,420625186.963892,1878066.37095804,421212366.742669,1880043.26393385,3456021782.31393,996.899273858378,1852.61362003718,2565175544.76904,2953335107.10861,0,148800.368825453,3463121028.22237,191634741.672428,8253803471.35254,216177092.056351,4219073136.31755
"stress-ng --cpu 1 --cpu-method div128 --timeout 10s",7.72,724535451.782386,232049488.770905,1683348898.33087,12782.4950472465,143.490199115141,0,-1.80204728093032,722576139.883488,49.5390458903558,231422115.035083,7.24656929766407,6040.00839059073,1131365689.52329,13735600.6441574,1129901221.33568,13709885.0600263,3459604562.27938,1106.61185696451,1908.05790229701,2567497582.10229,7671464363.44945,0,227144638.457138,3453527278.97256,2215609320.68457,1203472454.10829,1493524323.12645,8098433139.15288
"stress-ng --cpu 1 --cpu-method double --timeout 10s",7.7,1299027377.68732,420006403.011052,862534758.309821,13303.9852768521,86.1525855693213,0,2.17630698225951,1296929240.46286,50.7197748977927,419328658.388912,7.14558486052572,8355.52778531937,508112870.568064,5844678.77979999,507351590.803731,5839824.25598275,3462570747.0213,1106.01693615658,1962.67204053906,2570093710.92628,4491145462.52812,0,417090154.13741,3454908308.26896,1395644648.67847,5697543664.41536,882184629.447176,4887117958.88207
"stress-ng --cpu 1 --cpu-method euler --timeout 10s",7.09,431910749.473381,364441071.967488,364576186.160167,12409.3222929603,81.2801874420994,0.695199921198392,27.6927674024095,431618888.983919,51.9453169761467,364194812.120455,7.53305072091225,5583.77969982662,660400566.95123,3811.91490036041,661005514.5026,3964.54168401483,3454163129.57568,1051.61393275611,2032.56038611993,2563794074.13989,4516000619.9564,82594090.8993766,365127638.020882,3468511548.37352,1192800.44598665,8254701823.76492,55913153.5844716,4574774448.62092
"stress-ng --cpu 1 --cpu-method explog --timeout 10s",7.02,806712233.751538,166168640.302377,545857453.346283,12326.410682868,94.3495613114601,0,-3.19357927465906,807426484.998388,50.815072582995,166315548.497525,7.44292919931572,7167.08823861662,475118480.530375,2901.86965427493,475028394.151239,2657.97619021979,3465636493.92113,1144.58938197841,1987.29745450206,2572427676.31711,3016048278.10603,0,166314293.170826,3463866146.97508,779231.377599849,9619620909.61431,169219535.997034,3097558825.4728
"stress-ng --cpu 1 --cpu-method factorial --timeout 10s",6.9,261336810.232547,169069784.495999,292318524.808618,16000.9082085296,102.502982771336,0.795173359376505,-1.9007441036567,261406614.285322,49.332340256476,169115149.451487,7.94060521046548,11444.2601776489,111926860.439176,241028.499359328,111699193.135337,240484.098393485,3465338357.83369,1091.54200850255,1946.01962403669,2572102463.00582,1413453828.03224,12663637.4708151,168872021.446587,3455959978.94752,738632408.00257,8002029140.27515,2159867525.36006,1980294252.61142
"stress-ng --cpu 1 --cpu-method fibonacci --timeout 10s",7.19,254869076.378549,127484175.412878,2471469131.24333,10907.6593526517,114.135243764477,0.596111711822339,10.2190313699874,251340030.850919,46.8562216919418,125719598.143049,7.34577722017629,5929.28231061326,2518989237.04321,3653.55270835391,2516548383.0631,3543.05175024347,3462088244.44284,1101.48955566317,1900.0192290295,2569682767.06204,9878239708.74644,0,125133818.854171,3463773469.69143,642446.118550787,78111911.7774971,2679987581.9783,10127566203.9597
"stress-ng --cpu 1 --cpu-method fft --timeout 10s",8.1,1903304973.73749,839988731.402218,1232507726.57183,14298.2311269929,134.414495244488,0,47.8095836525927,1906616000.15708,53.3739989405323,841450250.672986,9.24363219810138,4632.63206663069,1030449679.8894,910830.338070279,1029844406.57209,911095.763624989,3454130234.00839,1097.63092294153,2018.14704524012,2563746767.99472,8205376485.20399,0,841349687.318472,3466449797.76119,182677893.89525,3532759145.16501,604114609.276485,8558122774.51974
"stress-ng --cpu 1 --cpu-method fletcher16 --timeout 10s",6.95,213722902.451401,1349695.59475758,439556573.20076,12105.2083453955,89.1959820090624,0,4.7545803384457,213665052.361289,49.7713975067034,1349313.00695281,9.02286156916101,4499.3167035958,214834647.066886,406475.27882347,215108927.848598,407192.933606742,3466340023.63615,1009.23344122043,1905.30922990631,2572665284.11202,5109013847.57714,0,1347546.05718769,3448647410.99062,38480995.6413823,7695875713.61904,4732564.14878867,5144990730.70554
"stress-ng --cpu 1 --cpu-method float --timeout 10s",7.17,738364291.913021,188420529.485695,814840685.722722,10743.2816791034,102.643065897292,0,29.1677271737752,737125251.343448,50.2364264552446,188104685.796867,7.13291776895684,9608.25643888944,408867542.261622,7201852.94928566,408557564.107219,7198312.27832647,3464534598.9808,1055.14310089871,1945.94517991708,2571340547.74284,2643823313.48769,0,188306723.426239,3454054647.8663,1657223945.38907,6836927202.98139,1693669566.72552,2652130835.53851
